OM azonosító;Intézmény megnevezése
029493;Algyői Szivárvány Óvoda
029503;Kölyöksziget Óvoda
029505;Szegedi Pitypang Evangélikus Óvoda
029524;Károly Óvoda
029536;Földeáki Gyermekmosoly Óvoda
029538;Kiszombori Karátson Emília Óvoda
029583;Ruzsai Hétszínvirág Óvoda és Bölcsőde
029584;Zákányszéki Manó-Kert Óvoda és Bölcsőde
029610;Szőnyi Benjámin Református Általános Iskola
029624;Szentesi Deák Ferenc Általános Iskola
029625;Kiss Bálint Református Általános Iskola, Óvoda és Bölcsőde
029626;Szent Erzsébet Katolikus Általános Iskola és Óvoda
029628;Szentesi Koszta József Általános Iskola
029629;Szentesi Klauzál Gábor Általános Iskola
029633;Mórahalmi Móra Ferenc Általános Iskola
029637;Béke Utcai Általános Iskola
029640;Tisza-parti Általános Iskola
029642;Szegedi Alsóvárosi Általános Iskola
029643;Tarjáni Kéttannyelvű Általános Iskola és Alapfokú Művészeti Iskola
029644;Szegedi Orczy István Általános Iskola
029648;Szegedi Vörösmarty Mihály Általános Iskola
029650;Szegedi Jerney János Általános Iskola
