OM azonosító;Intézmény megnevezése
029651;Gedói Általános Iskola és Alapfokú Művészeti Iskola
029652;Algyői Fehér Ignác Általános Iskola
029654;Rókusi Általános Iskola
029656;Szegedi Madách Imre Magyar-Angol Két Tanítási Nyelvű Általános Iskola
029658;Szegedi Zrínyi Ilona Általános Iskola
029662;Szegedi Fekete István Általános Iskola
029664;Szegedi Gregor József Általános Iskola
029667;Szegedi Dózsa György Általános Iskola
029670;Szegedi Janikovszky Éva Általános Iskola és Alapfokú Művészeti Iskola
029671;Szegedi Bonifert Domonkos Általános Iskola
029672;Tabán Általános Iskola és Alapfokú Művészeti Iskola
029674;Szegedi Arany János Általános Iskola
029681;Szegedi Tudományegyetem Juhász Gyula Gyakorló Általános és Alapfokú Művészeti Iskolája, Napközi Otthonos Óvodája
029682;Táltos Alapfokú Művészeti Iskola és Óvoda
029686;Mártélyi Általános Művelődési Központ
029687;Mindszenti Általános Iskola
029695;Földeáki Návay Lajos Általános Iskola
029697;Kiszombori Dózsa György Általános Iskola
029700;Maroslelei Általános Iskola
029705;Ádám Jenő Általános Iskola és Alapfokú Művészeti Iskola
029728;Csengelei Általános Iskola
029731;Kiss Ferenc Általános Iskola és Alapfokú Művészeti Iskola
029735;Zákányszéki Általános Iskola és Alapfokú Művészeti Iskola
029736;Bethlen Gábor Református Gimnázium és Szathmáry Kollégium
029737;Horváth Mihály Gimnázium
029742;Szegedi Tudományegyetem Báthory István Gyakorló Gimnázium és Általános Iskola
029743;Szegedi Radnóti Miklós Kísérleti Gimnázium
029744;Szegedi Deák Ferenc Gimnázium
029745;Makói József Attila Gimnázium
029747;Szegedi Tömörkény István Gimnázium, Művészeti Szakgimnázium és Technikum
029752;Dugonics András Piarista Gimnázium, Alapfokú Művészeti Iskola és Kollégium
029757;Szignum Kéttannyelvű Egyházi Általános Iskola
029842;Dunaújvárosi Óvoda
029851;Móri Pitypang Óvoda
029852;Móri Napsugár Óvoda
029855;Belvárosi Brunszvik Teréz Óvoda
029857;Felsővárosi Óvoda
029859;Olajfa Református Óvoda
029860;Hosszúsétatéri Óvoda
029861;Hétpettyes Óvoda
029862;Árpád Úti Óvoda
029863;Ligetsori Óvoda
029864;Rákóczi Utcai Óvoda
029867;Maroshegyi Óvoda
029873;Székesfehérvári Napsugár Óvoda
029884;Tolnai Utcai Óvoda
029891;Székesfehérvári Gyöngyvirág Óvoda
029895;Bicske Városi Óvoda
029910;Gárdonyi Óvoda
029915;Enyingi Szirombontogató Óvoda
029917;Adonyi Hóvirág Óvoda és Mini Bölcsőde
029920;Besnyői Pöttömsziget Óvoda
029923;ERCSI NAPFÉNY ÓVODA
029925;Ercsi Hétszínvirág Óvoda
029929;Mezőfalvai Tündérkert Óvoda
029931;Nagyvenyimi Nefelejcs Óvoda és Fecskefészek Bölcsőde
029933;RÁCALMÁSI MANÓVÁR ÓVODA ÉS BÖLCSÖDE
029934;KULCSI SZÁZHOLDAS PAGONY ÓVODA ÉS BÖLCSŐDE
029951;Soponyai Mesevár Óvoda
029952;Csóri Csivitelő Óvoda
029955;Iszkaszentgyörgyi Vackor Óvoda - Mini Bölcsőde és Konyha
029956;Hétmérföldes Óvoda
029959;Mezőszentgyörgyi Gesztenyés Óvoda
029961;Polgárdi Eszterlánc Óvoda és Bölcsőde
029962;Fülemüle Óvoda
029963;Sárkeresztesi Ficánkoló Óvoda és Mini Bölcsőde
029964;Sárszentmihályi Csicsergő Óvoda
029970;Táci Százszorszép Óvoda és Mini Bölcsőde
029971;Zámolyi Mesevár Óvoda
029972;KŐSZÁRHEGYI CSEMETEKERT ÓVODA
029978;Lórántffy Református Óvoda és Bölcsőde
029979;Csákvári Mese-Vár Óvoda és Bölcsőde
029980;Nefelejcs Német Nemzetiségi Óvoda
029981;KASTÉLY ÓVODA ÉS BÖLCSŐDE
029983;Mányi Mesevár Óvoda és Mini Bölcsőde
029985;SZÁRLIGETI HÉTSZÍNVIRÁG ÓVODA
029991;Alapi Óvoda-Mini Bölcsőde
029998;KÁLOZI ARANYALMA ÓVODA ÉS BÖLCSŐDE
029999;Kerekerdő Evangélikus Óvoda
030015;Lovasberényi Csicsergő Óvoda és Konyha
030016;Brunszvik Teréz Óvoda
030017;Pákozdi Nyitnikék Óvoda és Bölcsőde
030022;Velencei Meseliget Óvoda-Bölcsőde
030028;Dunaújvárosi Dózsa György Általános Iskola
030031;Dunaújvárosi Móricz Zsigmond Általános Iskola
030032;Dunaújvárosi Petőfi Sándor Általános Iskola
030036;Dunaújvárosi Vasvári Pál Általános Iskola
030037;Dunaújvárosi Arany János Általános Iskola
030041;Móri Petőfi Sándor Általános Iskola
030042;Móri Dr. Zimmermann Ágoston Magyar-Angol Két Tanítási Nyelvű Általános Iskola
030043;Szent Erzsébet Római Katolikus Általános Iskola
030046;Székesfehérvári Kodály Zoltán Általános Iskola, Gimnázium és Alapfokú Művészeti Iskola
030047;Székesfehérvári Kossuth Lajos Általános Iskola
030048;Székesfehérvári Széna Téri Általános Iskola
030049;Tóvárosi Általános Iskola
030051;Székesfehérvári II. Rákóczi Ferenc Magyar-Angol Két Tanítási Nyelvű Általános Iskola
030052;Székesfehérvári Munkácsy Mihály Általános Iskola
030054;Székesfehérvári Táncsics Mihály Általános Iskola
030055;Felsővárosi Általános Iskola
030056;Székesfehérvári Vasvári Pál Általános Iskola
030057;Székesfehérvári Németh László Általános Iskola
030059;Székesfehérvári Vörösmarty Mihály Általános Iskola
030060;Zentai Úti Általános Iskola
030062;Hétvezér Általános Iskola
030064;Székesfehérvári István Király Általános Iskola
030066;Comenius Angol-Magyar Két Tanítási Nyelvű Gimnázium, Általános Iskola és Óvoda
030070;Szent Imre Gimnázium, Általános Iskola és Óvoda
030072;Bicskei Csokonai Vitéz Mihály Általános Iskola
030074;Sárbogárdi Mészöly Géza Általános Iskola
030075;Sárszentmiklósi Általános Iskola
030081;Chernel István Általános Iskola és Gimnázium
030085;Adonyi Szent István Általános Iskola és Alapfokú Művészeti Iskola
030087;Nikosz Beloiannisz Általános Iskola, Óvoda és Kiegészítő Nemzetiségi Óvoda
030088;Besnyői Arany János Általános Iskola
030091;Ercsi Eötvös József Általános Iskola
030092;Dr. Fejérpataky László Sportiskolai Általános Iskola
030094;Mezőfalvi Petőfi Sándor Általános Iskola és Alapfokú Művészeti Iskola
030096;Nagyvenyimi Kossuth Lajos Általános Iskola
030097;Perkátai Hunyadi Mátyás Általános Iskola
030099;Rácalmási Jankovich Miklós Általános Iskola és Alapfokú Művészeti Iskola
030100;Kulcsi Fekete István Általános Iskola
030101;Ráckeresztúri Petőfi Sándor Általános Iskola
030114;Csóri Mátyás Király Általános Iskola
030117;Iszkaszentgyörgyi Általános Iskola
030122;Mezőszentgyörgyi Eötvös Károly Általános Iskola
030123;Nádasdladányi Nádasdy Ferenc Általános Iskola
030124;Polgárdi Széchenyi István Általános Iskola
030126;Sárszentmihályi Zichy Jenő Általános Iskola
030132;Gorsium Általános Iskola
030136;Esterházy Móric Nyelvoktató Német Nemzetiségi Általános Iskola
030138;Endresz György Általános Iskola
030140;Hársfadombi Nyelvoktató Német Nemzetiségi Általános Iskola
030142;Tima Endre Általános Iskola
030146;Vértesboglári Nyelvoktató Német Nemzetiségi Általános Iskola
030151;Dr. Kovács Pál Általános Iskola
030154;Kálozi Szent István Általános Iskola
030155;Gesztenyefasori Szent Márton Általános Iskola
030164;Szabadhídvégi Napsugár Óvoda
030166;Baracskai Kozma Ferenc Általános Iskola
030169;Martonvásári Beethoven Általános Iskola
030174;Sajnovics János Általános Iskola és Alapfokú Művészeti Iskola
030175;Kápolnásnyéki Vörösmarty Mihály Általános Iskola és Gimnázium
030179;Dunaújvárosi Rosti Pál Gimnázium és Általános Iskola
030180;Dunaújvárosi Széchenyi István Gimnázium
030181;Móri Táncsics Mihály Gimnázium
030182;Ciszterci Szent István Gimnázium
030183;Tóparti Gimnázium és Művészeti Szakgimnázium
030186;Sárbogárdi Petőfi Sándor Gimnázium
030192;Székesfehérvári Teleki Blanka Gimnázium és Általános Iskola
030194;Lánczos Kornél Gimnázium
030228;Kodolányi János Gimnázium
030269;Király-Tó Óvoda és Bölcsőde
030270;Hildegard Óvoda
030271;Mosonmagyaróvári Őzikés Óvoda
030272;Mosonmagyaróvári Lurkóvár Óvoda
030273;Ostermayer Óvoda
030274;Majoroki Óvoda
030275;Mosonmagyaróvári Bóbita Óvoda
030277;Mosonmagyaróvári Kékcinke Óvoda
030278;Mosonmagyaróvári Vackor Óvoda
030282;Soproni Egyetem Lewinszky Anna Gyakorló Óvoda
030286;Trefort Téri Óvoda
030288;Bánfalvi Óvoda - Kindergarten Wandorf
030295;Hermann Alice Óvoda
030339;Barbacsi Vadgesztenye Óvoda és Konyha
030340;Bágyogszovát Napköziotthonos Óvoda
030344;Bősárkányi Tündérfátyol Óvoda és Mini Bölcsőde
030350;Kónyi Tündér-tavi Óvoda
030355;Rábapordányi Levendulakert Óvoda
030362;Szili Mesevár Körzeti Óvoda
030363;Szilsárkányi Zöld Óvoda
030370;Mézeskalács Körzeti Napközi Otthonos Óvoda és Bölcsőde
030372;BŐNYI SZIVÁRVÁNY ÓVODA ÉS MINI BÖLCSŐDE
030373;Dunaszegi Napközi Otthonos Óvoda és Bölcsőde
030374;Duna-Gyöngye Óvoda
030375;Tündérkastély Óvoda
030378;Gönyűi Kék Duna Óvoda és Bölcsőde
030379;Gyömörei Gesztenyés Óvoda-Bölcsőde
030381;Győrladaméri Bóbita Óvoda
030389;Kisbajcsi Nefelejcs Óvoda és Bölcsőde
030391;Tündérvár Óvoda
030393;Nagybajcsi Napsugár Óvoda és Bölcsőde
030394;Nagyszentjánosi Tarka Lepke Óvoda
030395;Nyúli Aranykapu Óvoda és Bölcsőde
030396;Öttevényi Mackó-Kuckó Napköziotthonos Óvoda és Bölcsőde
030397;PANNONHALMI JÁTÉK-VÁR ÓVODA ÉS BÖLCSŐDE
030399;Péri Vadvirág Óvoda
030404;Tarjánpusztai Napsugár Óvoda és Bölcsőde
030406;Tápszentmiklósi Mocorgó Óvoda és Mini Bölcsőde
030407;Tényői Szent Erzsébet Óvoda és Bölcsőde
030410;Vámosszabadi Vackor Óvoda és Bölcsőde
030411;MÓRICHIDAI ÓVODA
030416;Gyarmati Aranydió Óvoda
030426;SZÁRFÖLDI BÚZAVIRÁG ÓVODA ÉS KONYHA
030432;Darnózseli Gólyavár Körzeti Óvoda, Bölcsőde
030433;Dr. Batthyány-Strattmann László Általános Iskola
030435;Halászi Óvoda és Bölcsőde
030437;HEGYESHALMI NAPSUGÁR ÓVODA ÉS BÖLCSŐDE
030444;Levélfalvi Manók Óvoda és Bölcsőde
030447;Mosonszentmiklósi Kormos István Óvoda, Bölcsőde és Konyha
030451;Mosonszolnoki Napraforgó Óvoda és Bölcsőde
030457;ÁGFALVI NAPSUGÁR ÓVODA
030460;Fertődi Tündérkert Óvoda, Bölcsőde és Mini Bölcsőde
030464;Fertőrákosi Óvoda és Bölcsőde Kindergarten und Kinderkrippe Kroisbach
030466;FERTŐSZENTMIKLÓSI BEZERÉDJ AMÁLIA ÓVODA ÉS BÖLCSŐDE
030467;Fertőszéplaki Margaréta Óvoda és Mini Bölcsőde
030468;Hegykői Tündérrózsa Óvoda és Bölcsőde
030469;IVÁNI NAPKÖZIOTTHONOS ÓVODA ÉS KONYHA
030473;Nagycenki Aranypatak Óvoda és Mini Bölcsőde
030474;Nagylózsi Virágfüzér Óvoda és Bölcsőde
030475;PERESZTEGI GÓLYAFÉSZEK ÓVODA ÉS MINI BÖLCSŐDE
030476;Petőházi Kincseskert Óvoda
030480;Sopronhorpácsi Zöld Óvoda és Mini Bölcsőde
030486;ZSIRAI MESEKERT ÓVODA
030489;II. Rákóczi Ferenc Római Katolikus Óvoda és Általános Iskola
030491;Páli Szent Vince Katolikus Gimnázium, Általános Iskola és Óvoda
030492;Kapuvár Térségi Általános Iskola
030497;Ujhelyi Imre Általános Iskola
030500;Mosonmagyaróvári Fekete István Általános Iskola
030501;Mosonmagyaróvári Móra Ferenc Általános Iskola
030502;Piarista Gimnázium, Általános Iskola és Óvoda
030505;Soproni Német Nemzetiségi Általános Iskola - Deutsche Nationalitätenschule Ödenburg
030506;Soproni Gárdonyi Géza Általános Iskola
030507;Soproni Petőfi Sándor Általános Iskola és Alapfokú Művészeti Iskola
030508;Hunyadi János Evangélikus Óvoda, Általános Iskola és Alapfokú Művészeti Iskola
030509;Deák Téri Általános Iskola
030510;Lackner Kristóf Általános Iskola
030521;Győri Gárdonyi Géza Általános Iskola
030523;Győri Arany János Angol-Német Két Tanítási Nyelvű Általános Iskola
030531;Szabadhegyi Magyar-Német Két Tanítási Nyelvű Általános Iskola és Gimnázium
030532;Győri Tulipános Általános Iskola
030533;Győri Móricz Zsigmond Általános Iskola
030538;Széchenyi István Egyetem Öveges Kálmán Gyakorló Általános Iskola
030546;Péterfy Sándor Evangélikus Gimnázium, Általános Iskola, Óvoda, Alapfokú Művészeti Iskola és Kollégium
030549;Prohászka Ottokár Orsolyita Gimnázium, Általános Iskola és Óvoda
030556;Bágyogszováti József Attila Általános Iskola
030564;Kónyi Deák Ferenc Általános Iskola
030570;Rábatamási Móra Ferenc Általános Iskola
030572;Szili Szent István Általános Iskola
030578;Szent Anna Katolikus Általános Iskola és Óvoda
030579;Király Iván Általános Iskola
030581;Abdai Zrínyi Ilona Általános Iskola
030583;Bőnyi Szent István Király Általános Iskola
030584;Dunaszegi Körzeti Általános Iskola
030585;Enesei Általános Iskola
030588;Gönyűi Széchenyi István Általános Iskola
030589;Háry László Általános Iskola
030592;Győrújbaráti II. Rákóczi Ferenc Általános Iskola
030594;Győrzámolyi Petőfi Sándor Általános Iskola
030597;Kisbajcsi Vörösmarty Mihály Általános Iskola és Alapfokú Művészeti Iskola
030598;Koroncói II. Rákóczi Ferenc Általános Iskola
030601;Nagyszentjánosi Hunyadi Mátyás Általános Iskola
030602;Pilinszky János Általános Iskola
030603;Öttevényi Általános Iskola
030604;Veszprémvarsányi Fekete István Általános Iskola és Alapfokú Művészeti Iskola
030606;Péri Öveges József Általános Iskola
030608;Rábapatonai Petőfi Sándor Általános Iskola
030611;Tápi József Attila Általános Iskola
030612;Tápszentmiklósi Csokonai Vitéz Mihály Általános Iskola
030613;Tényői Ady Endre Általános Iskola
030614;Kisfaludy Károly Általános Iskola és Alapfokú Művészeti Iskola
030618;Fiáth János Általános Iskola
030621;Gyarmati Kossuth Lajos Általános Iskola
030624;Győrladamér Községi Általános Iskola
030641;Bezenyei Horvát-Magyar Kétnyelvű Általános Iskola
030642;Szigetköz Körzeti Általános Iskola és Alapfokú Művészeti Iskola
030645;Szent Márton Általános Iskola
030647;Lőrincze Lajos Általános Iskola
030652;Kimlei Nemzetiségi Általános Iskola
030653;Levéli Német Nemzetiségi Általános Iskola
030654;Lébényi Általános Iskola és Alapfokú Művészeti Iskola
030655;Mosonszentmiklósi Széchenyi István Általános Iskola és Alapfokú Művészeti Iskola
030659;Mosonszolnoki Általános Iskola
030665;Ágfalvi Váci Mihály Általános Iskola
030668;Babos József Térségi Általános Iskola
030669;Fertőrákosi Általános Iskola és Alapfokú Művészeti Iskola
030670;Fertőszentmiklósi Felsőbüki Nagy Pál Általános Iskola
030671;Széchényi Ferenc Általános Iskola
030672;Fertő-táj Általános Iskola
030673;Iváni Általános Iskola
030674;Nakovich Mihály Általános Iskola és Óvoda
030675;Lövői Általános Iskola
030676;Pantzer Gertrud Általános Iskola
030677;Nagycenki Széchenyi István Általános Iskola
030679;Szedenich Fülöp Általános Iskola
030683;Sopronhorpácsi Általános Iskola
030687;Zsirai Általános Iskola
030693;Berzsenyi Dániel Evangélikus (Líceum) Gimnázium és Kollégium
030694;Soproni Széchenyi István Gimnázium
030695;Révai Miklós Gimnázium és Kollégium
030696;Kazinczy Ferenc Gimnázium és Kollégium
030697;Pannonhalmi Bencés Gimnázium és Szakkollégium
030698;Czuczor Gergely Bencés Gimnázium és Kollégium
030701;Mosonmagyaróvári Kossuth Lajos Gimnázium és Kollégium
030705;Eötvös József Evangélikus Gimnázium, Egészségügyi Technikum és Művészeti Szakgimnázium
030711;Szent Orsolya Római Katolikus Gimnázium, Általános Iskola és Óvoda-Bölcsőde
030712;Apor Vilmos Római Katolikus Óvoda, Általános Iskola, Alapfokú Művészeti Iskola, Gimnázium és Kollégium
030724;Richter János Zeneművészeti Szakgimnázium, Általános Iskola, Alapfokú Művészeti Iskola és Kollégium
030725;Széchenyi István Egyetem Tánc- és Képzőművészeti Általános Iskola, Szakgimnázium és Kollégium
030791;Szivárvány Református Óvoda
030796;Derecskei Mese-Vár Óvoda
030805;Hajdúnánási Óvoda
030815;PÜSPÖKLADÁNYI EGYESÍTETT ÓVODAI INTÉZMÉNY
030834;BIHARKERESZTESI SZIVÁRVÁNY ÓVODA ÉS BÖLCSŐDE
030835;Hajdúdorogi Egyesített Napközi Otthonos Óvodák
030844;Bárczay Anna Városi Óvoda
030846;Hajdúhadházi Városi Óvoda
030848;Napfény Óvoda és Bölcsőde
030854;Csillagvár Óvoda és Bölcsőde
030856;NAPSUGÁR ÓVODA
030862;Debreceni Egyetem Gyakorló Óvodája
030864;Áchim András Utcai Óvoda
030865;Szabadságtelepi Óvoda
030869;Liget Óvoda
030870;Angyalkert Óvoda
030871;Faragó Utcai Óvoda
030872;Görgey Utcai Óvoda
030873;Levendula Óvoda
030875;Ifjúság Utcai Óvoda
030876;Ispotály Utcai Óvoda
030879;Karácsony György Utcai Óvoda
030881;Kemény Zsigmond Utcai Óvoda
030883;Közép Utcai Óvoda
030884;Kuruc Utcai Óvoda
030886;Lehel Utcai Óvoda
030889;Szivárvány Óvoda
030890;Mosolykert Óvoda
030891;Nagyerdei Óvoda
030894;Mesekert Óvoda
030895;Simonyi Úti Óvoda
030897;Sinay Miklós Utcai Óvoda
030899;Százszorszép Óvoda
030901;Táncsics Mihály Utcai Óvoda
030902;Thaly Kálmán Utcai Óvoda
030906;Nagyerdei Villa Óvoda
030908;Debreceni Egyetem Óvodája
030909;Sípos Utcai Óvoda
030910;Alsójózsai Kerekerdő Óvoda
030911;Tócóskerti Óvoda
030912;Margit Téri Óvoda
030913;Gönczy Pál Utcai Óvoda
030915;Debreceni Arany János Óvoda
030916;Gyermekkert Alapítványi Óvoda
030923;Kikelet Waldorf Óvoda
030937;Kerek Egy Ég Alatt Óvoda és Bölcsőde
030952;Chernel József Önkormányzati Óvoda és Mini Bölcsőde
030957;Hosszúpályi Óvoda és Bölcsőde
030959;Létavértesi Gyermeksziget Óvoda-Bölcsőde
030965;Akácliget Óvoda és Bölcsőde
030966;Nyírábrányi Csicsergő Óvoda és Mini Bölcsőde
030978;Napsugár Óvoda és Bölcsőde
030981;Benedek Elek Óvoda és Bölcsőde
030983;Hajdúszováti Óvoda és Mini Bölcsőde
030986;Tündérkert Óvoda és Bölcsőde
030993;Kállay László Óvoda
030994;Kabai Óvoda
030999;Napsugár Óvoda és Bölcsőde Egyesített Intézmény
031015;Diószegi Kis István Református Két Tanítási Nyelvű Általános Iskola és Alapfokú Művészeti Iskola
031016;Berettyóújfalui József Attila Általános Iskola
031020;Berettyóújfalui II. Rákóczi Ferenc Általános Iskola
031026;Bocskai István Általános Iskola, Alapfokú Művészeti Iskola és Kollégium
031028;Hajdúnánási Református Általános Iskola és Óvoda
031029;Gönczy Pál Református Sport és Két Tanítási Nyelvű Általános Iskola
031030;Thököly Imre Két Tanítási Nyelvű Általános Iskola
